id,Song-Name,Artists,Genre,Album/Movie,User-Rating
2344,Dil Na Kahin Lagana,Asha Bhosle, Dance,Ghunghat,9.1
2345,Tan Rang Lo Ji Aaj Man Ranglo,"Lata Mangeshkar, Mohammed Rafi", Dance,Kohinoor,9.1
2346,Gori Ghunghat Mein Mukhda,Asha Bhosle, Dance,Ghunghat,9
2347,Azmale Ye Formulae,"Abhijeet, Shraddha Pandit", Dance,Khoobsurat,9.1
2348,O Chhalia Re Chhalia,"Asha Bhosle, Mohammed Rafi", Dance,Gunga Jumna,8.5
2349,Rang Deni,"Kailash Kher, Mahua Kamat, Shraddha Pandit", Dance,Dev,9.1
2350,Is Nagari Mein,Jagjit Singh, Sad,Bhopal Express,9.7
2351,Kateli Kateli Nasheli Nasheli,Suman Kalyanpur, Dance,Zindagi Aur Khwab,8.2
2352,Love Ka Matlab Hai Pyar,"Asha Bhosle, Mohammed Rafi", Dance,Love In Shimla,9.6
2353,Sau Tarah Ke (Revisited),"Abhijeet Sawant, Aditi Singh Sharma ·", Dance,Dishoom,7.5
2354,khwab jo raag de,"Rahat Fateh Ali Khan, Shankar Mahadevan", ,London Dreams,9.3
2355,Bhagwan Ek Qasoor Ki,Mohammed Rafi, Sad,Gehra Daag,8.5
2356,Savaiyaa – Chhota Sa Saajan,"Aparnaa Bhaagwat, Suresh Wadkar", Dance,Vivah,8.9
2357,Dil Tham Chale Hum Aaj Kidhar,Mohammed Rafi, Dance,Love In Shimla,9.1
2358,Happy Ending Mashup,Multiple, Dance,Happy Ending,7
2359,Koi Aisa Alam,"Mahalakshmi Iyer, Sonu Nigam", Romantic,Karam,9.3
2360,Rikshe Pe Mere Tum Aa Baithe,"Asha Bhosle, Mohammed Rafi", Dance,Dil Tera Deewana,9.1
2361,Har Subah Yaad Rakhna,"Lata Mangeshkar, Udit Narayan", Romantic,Farz,7.6
2362,Koi Pyar Ki Dekhe Jadugari,"Lata Mangeshkar, Mohammed Rafi", Romantic,Kohinoor,9.4
